Text,Link,Date
It is hereby notified that the students,... Read More,https://www.aust.edu/notice/1528,Dec 08 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1527,Dec 08 2022
This is for information of all concerned... Read More,https://www.aust.edu/notice/1521,Dec 05 2022
It is to notify for information of all c... Read More,https://www.aust.edu/notice/1524,Dec 04 2022
Application in prescribed form (availabl... Read More,https://www.aust.edu/notice/1479,Dec 01 2022
AUST wants to sell one old used white To... Read More,https://www.aust.edu/notice/1477,Nov 29 2022
In continuation of this notification no.... Read More,https://www.aust.edu/notice/1480,Nov 28 2022
This is to notify that all concerned tha... Read More,https://www.aust.edu/notice/1475,Nov 23 2022
This is for information of all concerned... Read More,https://www.aust.edu/notice/1474,Nov 23 2022
Dengue is a viral disease transmitted by... Read More,https://www.aust.edu/notice/1472,Nov 21 2022
.... Read More,https://www.aust.edu/notice/1471,Nov 21 2022
It is hereby notified for the informatio... Read More,https://www.aust.edu/notice/1469,Nov 20 2022
In pursuance of the decision of the 22"d... Read More,https://www.aust.edu/notice/1468,Nov 20 2022
This is for information of all Students,... Read More,https://www.aust.edu/notice/1467,Nov 20 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1459,Nov 13 2022
This is for information of all the stude... Read More,https://www.aust.edu/notice/1457,Nov 10 2022
MBA and EMBA students who have not yet c... Read More,https://www.aust.edu/notice/1455,Nov 10 2022
The admission interviews of the applican... Read More,https://www.aust.edu/notice/1452,Nov 08 2022
In pursuance of the decision of the Disc... Read More,https://www.aust.edu/notice/1451,Nov 07 2022
A reception and orientation program for ... Read More,https://www.aust.edu/notice/1450,Nov 07 2022
The newly admitted students of Spring 20... Read More,https://www.aust.edu/notice/1449,Nov 06 2022
The admission interview of the Applicant... Read More,https://www.aust.edu/notice/1448,Nov 05 2022
The MBA/EMBA virtual course advising for... Read More,https://www.aust.edu/notice/1447,Nov 05 2022
All the students of Masterâ€™s Program (... Read More,https://www.aust.edu/notice/1444,Oct 31 2022
The following candidates have been selec... Read More,https://www.aust.edu/notice/1443,Oct 31 2022
The following candidates for admission t... Read More,https://www.aust.edu/notice/1430,Oct 26 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1429,Oct 25 2022
The Department of Electrical and Electro... Read More,https://www.aust.edu/notice/1428,Oct 25 2022
In continuation of the notification no. ... Read More,https://www.aust.edu/notice/1427,Oct 24 2022
The Division of Mathematics under the De... Read More,https://www.aust.edu/notice/1426,Oct 24 2022
.... Read More,https://www.aust.edu/notice/1421,Oct 20 2022
It is hereby notified for information of... Read More,https://www.aust.edu/notice/1418,Oct 20 2022
We have received the requests from the f... Read More,https://www.aust.edu/notice/1417,Oct 19 2022
In continuation to this office notificat... Read More,https://www.aust.edu/notice/1422,Oct 18 2022
Students who want to appear at Improveme... Read More,https://www.aust.edu/notice/1415,Oct 17 2022
The Internship /project students of Fall... Read More,https://www.aust.edu/notice/1414,Oct 17 2022
